importId;redmineMappingFieldSelect;redmineValue;osValue
1;Status;New;Nouveau
1;Status;Feedback;Feedback
1;Status;In Progress;En cours
1;Status;Resolved;Résolu
1;Status;Tested;Testé
1;Status;Deployment;Déployé
1;Status;Rejected;Rejeté
1;Status;Closed;Fermé
1;Status;Canceled;Annulé
1;Status;Won'tfix;Annulé
1;Status;Nouveau;Nouveau
1;Status;Rejeté;Rejeté
1;Status;En cours;En cours
1;Status;Réalisé, non livré;Réalisé, non livré
1;Status;Réalisé, livré;Réalisé, livré
1;Status;Annulé;Annulé
1;Status;Fermé/terminé;Fermé
1;Status;En attente;En attente
2;Tracker;Anomaly;Anomalie
2;Tracker;Feature;Fonctionnalité
2;Tracker;Support;Support
2;Tracker;Proposal;Proposition
2;Tracker;Anomalie;Anomalie
2;Tracker;Evolution;Evolution
2;Tracker;Fonctionnalité prévue;Fonctionnalité prévue
2;Tracker;Intervention/assistance;Intervention/assistance
2;Tracker;Pack;Pack
2;Tracker;Bug;Bug
3;Priority;Low;Low
3;Priority;Normal;Normal
3;Priority;High;High
3;Priority;Urgent;Urgent
4;Activity;On project/Bugfix;On project/Bugfix
4;Activity;On project/Project Management;On project/Project Management
4;Activity;On ticket;On ticket
4;Activity;On project/Feature;On project/Feature
4;Activity;A. Technologies;A. Technologies